method,imp_id,syn_id,variable,cosine,js,wasserstein
ecdf,1.0,1.0,sbp_bin1,0.26054985471991965,0.03927401254348027,0.0059868120389110335
ecdf,1.0,1.0,sbp_bin2,0.1607756513689983,0.035440452677758284,0.004357855674239017
ecdf,1.0,1.0,sbp_bin3,0.11773637337574017,0.03367419110009675,0.0491158007029828
ecdf,1.0,1.0,sbp_bin4,0.15141849456470657,0.03751425959119822,0.008611929248823789
ecdf,1.0,1.0,sbp_bin5,0.09926158208862257,0.0300503078345578,0.004019903587377638
ecdf,1.0,1.0,sbp_bin6,0.08028883485618143,0.03579902780342866,0.00877571379428978
ecdf,1.0,1.0,sbp_bin7,0.09650549737995706,0.03497569082313771,0.06488512183210696
ecdf,1.0,1.0,sbp_bin8,0.11620505848165408,0.022116078051246612,0.0709433875398985
ecdf,1.0,1.0,sbp_bin9,0.11335810338678132,0.025290310834401822,0.025952558828331303
ecdf,1.0,1.0,sbp_bin10,0.08663010290488316,0.021161263297001763,0.0025555781712915913
ecdf,1.0,1.0,dbp_bin1,0.2176862262657776,0.06089593051171988,0.002913859042068822
ecdf,1.0,1.0,dbp_bin2,0.10295728318695385,0.034751547539524044,0.003800555902206589
ecdf,1.0,1.0,dbp_bin3,0.026460459423903404,0.03394907785846279,0.05989655623588834
ecdf,1.0,1.0,dbp_bin4,0.10721500185036936,0.031855936822179784,0.00999832570599396
ecdf,1.0,1.0,dbp_bin5,0.0979570006936391,0.01676150368523038,0.0031906483677410225
ecdf,1.0,1.0,dbp_bin6,0.08622021635404387,0.03152192316855932,0.05015950061941964
ecdf,1.0,1.0,dbp_bin7,0.07848088265005904,0.03200857465961534,0.001636733124622398
ecdf,1.0,1.0,dbp_bin8,0.060520684091886934,0.022887533321217315,0.0028280686088477153
ecdf,1.0,1.0,dbp_bin9,0.08055946859516683,0.027333458321684635,0.03734359162559882
ecdf,1.0,1.0,dbp_bin10,0.0925260295398368,0.03776856956510158,0.017010003082668302
ecdf,1.0,2.0,sbp_bin1,0.2620553057191878,0.039085744697745575,0.0031794737872951704
ecdf,1.0,2.0,sbp_bin2,0.16011241315191205,0.03560539626349562,0.003327315580963846
ecdf,1.0,2.0,sbp_bin3,0.12699172082074506,0.03292338152743796,0.02390089725729843
ecdf,1.0,2.0,sbp_bin4,0.15072526539047337,0.03724902932123871,0.01259002375460001
ecdf,1.0,2.0,sbp_bin5,0.10692976551657707,0.03408127231803276,0.03486240499216271
ecdf,1.0,2.0,sbp_bin6,0.08067222154429621,0.03600578213553092,0.00871207430340572
ecdf,1.0,2.0,sbp_bin7,0.07213661854699882,0.034569581257009006,0.0036711588660231923
ecdf,1.0,2.0,sbp_bin8,0.11490876789512283,0.02204138897764901,0.07255152733606669
ecdf,1.0,2.0,sbp_bin9,0.11038712911111814,0.023288737497267075,0.0020757892760387264
ecdf,1.0,2.0,sbp_bin10,0.10911644881561833,0.02085413776164393,0.0448502243123922
ecdf,1.0,2.0,dbp_bin1,0.23173747583830084,0.06356131817518872,0.005263157894736841
ecdf,1.0,2.0,dbp_bin2,0.10032020962004029,0.03445406456230504,0.0033325770038005508
ecdf,1.0,2.0,dbp_bin3,0.016648590726672796,0.02989220537937486,0.0011298865634203426
ecdf,1.0,2.0,dbp_bin4,0.11032880188995009,0.03299083401318902,0.008525483007019328
ecdf,1.0,2.0,dbp_bin5,0.10273227351582925,0.016135263721764274,0.015413899908254985
ecdf,1.0,2.0,dbp_bin6,0.08431665735945992,0.027774242230826213,0.0045807168183177455
ecdf,1.0,2.0,dbp_bin7,0.07917502718331704,0.03733617444581785,0.06734159855267169
ecdf,1.0,2.0,dbp_bin8,0.07381648736842983,0.02457746152051019,0.021209848918219844
ecdf,1.0,2.0,dbp_bin9,0.0796813606711696,0.024716172065173937,0.0022951909521978725
ecdf,1.0,2.0,dbp_bin10,0.09737823820296765,0.03875023771175285,0.01445848963150084
ecdf,1.0,3.0,sbp_bin1,0.25773017275307,0.03869005650695539,0.005588561728798066
ecdf,1.0,3.0,sbp_bin2,0.15542425607686017,0.034407559998529555,0.0043001855473647375
ecdf,1.0,3.0,sbp_bin3,0.11506004613155374,0.03342361317169009,0.04172777225282105
ecdf,1.0,3.0,sbp_bin4,0.14196949656787083,0.036385646792749776,0.0057814302191465
ecdf,1.0,3.0,sbp_bin5,0.09886422710894571,0.033006350767304474,0.03598824708223309
ecdf,1.0,3.0,sbp_bin6,0.07936327543275445,0.03531133713054743,0.0024616038365810654
ecdf,1.0,3.0,sbp_bin7,0.0688299686425774,0.03511774070477256,0.018141267279209308
ecdf,1.0,3.0,sbp_bin8,0.11401337154677871,0.017088195721625118,0.0014268897370955603
ecdf,1.0,3.0,sbp_bin9,0.1170303687286064,0.02274671321258706,0.019479370635623435
ecdf,1.0,3.0,sbp_bin10,0.08642662253022104,0.020688925179649893,0.002874460049302311
ecdf,1.0,3.0,dbp_bin1,0.2220289254731016,0.06255111834539635,0.006082680750318707
ecdf,1.0,3.0,dbp_bin2,0.1052759869942459,0.03356872217347963,0.022281756466377062
ecdf,1.0,3.0,dbp_bin3,0.025861542409637672,0.03339173092588546,0.06272154522935161
ecdf,1.0,3.0,dbp_bin4,0.10541059380989781,0.031120295376686338,0.013090036151331766
ecdf,1.0,3.0,dbp_bin5,0.08862345970214658,0.015550025866118531,0.002357995412309007
ecdf,1.0,3.0,dbp_bin6,0.08154061419447145,0.027109186012776076,0.004374813106070316
ecdf,1.0,3.0,dbp_bin7,0.07901470508164432,0.03673934602712535,0.06493053787171481
ecdf,1.0,3.0,dbp_bin8,0.07475366526615956,0.024742697922601028,0.02145871121218865
ecdf,1.0,3.0,dbp_bin9,0.07865252613545515,0.028200081760469505,0.05361147727064701
ecdf,1.0,3.0,dbp_bin10,0.08939482467579896,0.03822930091589295,0.0022392634849382168
ecdf,1.0,4.0,sbp_bin1,0.25221630615960255,0.03820036139390677,0.002879153881308354
ecdf,1.0,4.0,sbp_bin2,0.16278502580832332,0.034425982749786435,0.014656068736105515
ecdf,1.0,4.0,sbp_bin3,0.12719028820129819,0.033167714424253064,0.025447255551061636
ecdf,1.0,4.0,sbp_bin4,0.13874424272560193,0.03607421105079207,0.004062139561707045
ecdf,1.0,4.0,sbp_bin5,0.10402521630905515,0.030324854232285006,0.006053145239996446
ecdf,1.0,4.0,sbp_bin6,0.07936876801961579,0.035183809609257766,0.0024289746858495707
