method,imp_id,syn_id,cosine_mean,cosine_std,js_mean,js_std,wasserstein_mean,wasserstein_std,ds_idx
ctgan,1.0,1.0,0.12396871852785407,0.0404688521180406,0.03690072799024206,0.007921653553523358,0.07647819699200988,0.059762927902926775,1
ctgan,1.0,2.0,0.12303799742365214,0.043222171169171195,0.036885296541590576,0.00801289538946349,0.07750974227144036,0.05765138945905234,2
ctgan,1.0,3.0,0.1233454515565715,0.042097324871978,0.03691168505814522,0.008699605850117436,0.07989109560881695,0.0646172347963441,3
ctgan,1.0,4.0,0.12707577734678338,0.04306324631334757,0.037297809622805995,0.007906441403717646,0.0809073303189576,0.06184620759876564,4
ctgan,1.0,5.0,0.12209219774072697,0.04045645565405466,0.036728933549368424,0.007930286375835737,0.07813148964894108,0.06104141651533388,5
ctgan,1.0,6.0,0.12475762352490694,0.04074418449777982,0.03704162791309592,0.007946466762137215,0.08125794833883929,0.05470939253875861,6
ctgan,1.0,7.0,0.12181766931152489,0.042535041128515354,0.03666877161825145,0.007788451343441752,0.08073680962276493,0.06372501844614255,7
ctgan,1.0,8.0,0.12415790392105312,0.042237799386391175,0.03693973899460295,0.008038861256407702,0.07227383759115888,0.05817136794904989,8
ctgan,1.0,9.0,0.12234959149135019,0.040671418066483285,0.03672211983030995,0.007889698542859789,0.07995369828434691,0.06050599059526746,9
ctgan,1.0,10.0,0.12381140687290912,0.04172354971442841,0.036547286259179926,0.008225780147707865,0.07893720629136083,0.05485807139825451,10
ctgan,2.0,1.0,0.11360315177524716,0.03802111673069748,0.03519504714077691,0.007462542873366004,0.07634833802705293,0.05733196775667767,11
ctgan,2.0,2.0,0.11247843337592578,0.041191961948588554,0.03493606442319783,0.00782355142804001,0.06659493969525185,0.05870202343926447,12
ctgan,2.0,3.0,0.11156719640434243,0.04018911691132008,0.03484258278961688,0.007625089823205972,0.06425001409066253,0.05585671309018904,13
ctgan,2.0,4.0,0.11364662101922059,0.03946446184355335,0.03524402528557153,0.00736137900170033,0.07311853831631235,0.058827981430666906,14
ctgan,2.0,5.0,0.11564594101801876,0.038805656681405225,0.03533126862991463,0.007363064500071972,0.06633997675799172,0.06371996151521038,15
ctgan,2.0,6.0,0.11313898175285571,0.042275159189809036,0.0355261030538694,0.007472607546175615,0.0647284323440387,0.05979727958208485,16
ctgan,2.0,7.0,0.1102445950244965,0.040834461203213344,0.03516901065796346,0.0073538193911698,0.06898914091703344,0.0632469937145432,17
ctgan,2.0,8.0,0.11532212478595842,0.04035100938691345,0.035460703833681065,0.006971825050639795,0.0675268670874958,0.06313148924318046,18
